new gene ID	Cluster	cons phenotype
PBANKA_1010800	26	None
PBANKA_0836800	26	None
PBANKA_1346500	26	None
PBANKA_1444000	26	None
PBANKA_1242200	26	None
PBANKA_0800400	26	None
PBANKA_1246700	26	None
PBANKA_0309700	26	None
PBANKA_1402700	26	None
PBANKA_1412300	26	None
PBANKA_0111100	26	None
PBANKA_1112100	26	None
PBANKA_0415900	26	None
PBANKA_0521800	26	None
PBANKA_0106600	26	None
PBANKA_1220300	26	None
PBANKA_1244000	27	None
PBANKA_0819100	27	None
PBANKA_0608700	27	None
PBANKA_0108900	27	None
PBANKA_1110500	27	None
PBANKA_0402200	27	None
PBANKA_1400700	27	None
PBANKA_0814200	27	None
PBANKA_1464600	27	Male
PBANKA_0936900	27	None
PBANKA_1361900	27	None
PBANKA_1114700	27	None
PBANKA_1438600	27	None
PBANKA_1000300	27	None
PBANKA_0717500	27	None
PBANKA_0713300	27	None
PBANKA_1462200	27	None
PBANKA_0822300	27	None
PBANKA_1020200	27	None
PBANKA_0110400	27	None
PBANKA_1007600	27	None
PBANKA_0806400	27	None
PBANKA_0311900	28	Female
PBANKA_1205700	28	None
PBANKA_1348000	28	None
PBANKA_1434000	28	None
PBANKA_0303400	28	None
PBANKA_0903700	28	None
PBANKA_1244400	28	None
PBANKA_0823500	28	None
PBANKA_0920900	28	None
PBANKA_1126200	28	None
PBANKA_1358000	28	None
PBANKA_0205100	28	None
