"","GeneId","X0h","X1h","X2h","X4h","X6h","X8h","X12h","X18h","X24h","X30h","X44h","MFfc","Cluster","TranscriptLength"
"4656","PBANKA_1428980.1","-0.090099756","0.067719784","0.008583495","0.011011576","-0.245675174","0.064146006","-0.727524849","0.460378322","-0.771997951","-2.416338994","-0.805689268","1.20837438097287","26",164
"4657","PBANKA_1429000.1","0.282630477","0.006058129","0.0629936","0.267884448","-0.073437323","-0.209515243","-0.806739171","-0.466290468","-0.885126013","-0.63475476","-1.006654371","0.0986341136289919","27",858
"4658","PBANKA_1429100.1","-0.079854755","-0.010420764","-0.105494376","-0.039556241","-0.002692146","0.101076146","0.329780005","6.979930169","9.0816339","9.968260894","8.484612591","2.46793889481249","56",339
"4659","PBANKA_1429200.1","-0.579655943","0.007726223","0.180130715","0.028013267","-0.085173426","0.748709142","2.194303911","6.24046404","8.168522311","8.837111154","9.097297383","-3.69823639687398","8",1752
"4660","PBANKA_1429300.1","-0.097697652","-0.033183335","0.096112517","0.132732715","1.974699837","2.052903517","2.024404333","4.592470119","7.362898824","7.679755921","6.75536899","-0.444857337490637","16",1953
"4661","PBANKA_1429400.1","-0.072386303","0.012501064","0.112876288","0.084723705","0.304523708","0.732323408","0.574826476","3.121232586","3.752679189","5.87743983","3.869906356","3.19634993070372","47",282
"4662","PBANKA_1429500.1","0.167726768","0.059835954","-0.021458501","0.155577222","-0.322845581","-0.176084926","-1.025850368","-0.366764608","-0.222145777","0.18874475","0.613216226","-2.58070573358937","3",432
"4663","PBANKA_1429600.1","0.042359966","0.025274516","-0.04649348","0.096103999","-0.128976429","-0.081552763","-0.126432431","-0.973462074","-3.485938654","-3.586674716","-2.995074451","1.55017695096268","42",2268
"4664","PBANKA_1429700.1","0.221204115","0.005152252","-0.083925576","-0.01582315","-0.282574538","-0.243781526","-0.36779552","-0.365645421","-0.923193305","-1.188410856","-0.783617634","0.882602296775055","43",2496
"4665","PBANKA_1429800.1","0.188249763","-0.039682911","0.060515979","0.140579307","0.055557636","-0.422043729","-0.896758901","-0.212971977","0.1174622","0.425609058","0.072634359","-1.64415392660677","2",420
"4666","PBANKA_1429900.1","0.074222209","-0.042470134","-0.026463375","0.021970335","0.340820603","0.139006835","-0.013184531","-0.014334218","0.099498398","0.208731946","-0.134663814","-1.15542178673213","19",3879
"4667","PBANKA_1430000.1","0.370257481","-0.018906085","0.112933958","0.216733845","0.502255236","0.136803837","-0.069312936","-0.255216879","-0.867797462","-0.978742141","-0.579960244","-2.03738976298169","1",531
"4668","PBANKA_1430100.1","0.065496372","-0.031174787","0.01066276","0.050775935","0.14784819","-0.02211558","-0.295538361","-0.114153261","0.261720735","0.5772614","0.187094993","-0.299648737730518","28",1605
"4669","PBANKA_1430200.1","-0.028469587","0.013301263","0.097425808","-8.1e-06","0.027030627","-0.012963728","-0.202104065","-0.136090258","0.203833351","0.673167172","0.358558981","-0.36752648454833","28",378
"4670","PBANKA_1430300.1","0.140508036","0.011366146","0.039252827","-0.149523931","0.077183379","0.623445255","0.881623615","3.577633924","8.202488344","9.48106317","8.781517711","-6.00736935540684","7",561
"4671","PBANKA_1430400.1","0.165051376","0.016909298","0.065548604","0.132385076","-0.338159899","-0.392604727","-1.09913609","-0.533277443","-1.213108297","-0.998332295","-1.324733098","-0.408881433163666","26",477
"4672","PBANKA_1430500.1","0.251352123","-0.039627262","0.022888109","0.140622176","-0.085063599","-0.257628604","-0.820792821","-0.617577965","-1.516928976","-1.376733969","-1.710493003","-0.204121399128408","26",465
"4673","PBANKA_1430600.1","0.153667802","-0.026612022","0.123787428","0.042563435","0.557745748","1.129822508","1.23281166","4.470431277","7.297867525","8.300717078","6.681641655","-2.44294707440866","16",330
"4674","PBANKA_1430700.1","0.038388391","-0.015626957","-0.00418495","0.074047703","-0.195915057","-0.126578354","-0.844224402","0.440259652","1.189534332","1.759090552","0.9034409","-0.778072993833013","20",738
"4675","PBANKA_1430800.1","0.143841194","-0.103982735","0.029101119","0.051282237","0.259950743","-0.130362691","-0.757587601","0.066228598","0.335790604","2.285137006","0.680737861","-2.18333368998233","13",648
"4676","PBANKA_1430900.1","0.204702876","-0.060961161","0.025042828","-0.026432938","0.700599265","0.354777673","0.743158307","2.127031932","3.340174088","3.29060928","2.293361196","1.8403364415207","39",2619
"4677","PBANKA_1431000.1","0.185784042","-0.051763981","0.108413676","0.176052234","0.426401586","-0.169165416","-0.536317913","-0.50333194","-1.230649134","-1.483396514","-1.197267565","-0.102549737807226","26",858
"4678","PBANKA_1431050.1","0.26119556","0.031099928","0.024600565","0.14920446","-0.043257448","-0.412731622","-1.517266782","-0.179855062","0.051394259","-0.656336493","-0.416640879","-1.32539942365972","2",309
"4679","PBANKA_1431100.1","-0.100709832","-0.0474305","0.000923402","0.057159678","0.099580494","-0.002971898","0.164351469","0.371075019","0.645020599","0.986924233","0.569332836","0.106755478341936","37",1653
"4680","PBANKA_1431200.1","0.143585358","0.039213855","-0.141168519","-0.063990834","0.26664613","-0.168227265","0.34970148","2.255820312","4.465571627","4.132996824","3.768926681","3.49229650483294","63",201
"4681","PBANKA_1431300.1","0.217296571","0.020231386","-0.066346719","0.078568311","-0.018549839","0.116313992","-0.226666009","2.778555081","3.936811278","3.98814415","3.284303741","-0.234786865233552","39",411
"4682","PBANKA_1431400.1","-0.215886959","0.028676543","-0.046471538","-0.138012712","-0.210475744","-0.103303807","1.087644153","7.358202747","8.967525377","8.300764647","8.173450285","8.98695050527111","64",3369
"4683","PBANKA_1431500.1","-0.393298896","0.008271181","0.078948439","-0.044541712","-0.318369623","0.374687967","0.633798385","7.44343316","10.637813","10.24118304","8.807094051","8.38647375471332","64",1080
"4684","PBANKA_1431600.1","-0.046258678","0.010711241","0.105632143","0.057094348","0.011155382","0.102714145","-0.183443334","-0.432692975","-0.323954639","0.155851326","-0.267374829","0.874122182175145","52",1779
"4685","PBANKA_1431700.1","-0.003919685","-0.015743985","0.038891995","0.059374011","-0.029834061","0.131471379","0.322082273","-0.350610743","-1.350621173","-1.582431107","-1.908565531","0.235978801394724","17",1707
"4686","PBANKA_1431800.1","0.177559446","-0.002130118","-0.024628374","0.072340891","0.1941859","-0.40040626","-0.562426153","-0.354794811","-0.393952949","0.303199261","-0.518923345","-0.394965139468741","28",864
"4687","PBANKA_1431900.1","0.087114781","0.014237097","0.011964255","0.142771183","-0.198919368","-0.37488263","-0.924176398","-0.434076576","-0.754370834","-0.631048846","-1.450621999","1.50527952590973","34",1107
