"","interpro","Domain"
"695","IPR000368","PF00862"
"696","IPR000369","PF02060"
"697","IPR000369","PR00168"
"698","IPR000370","PTHR11866:SF23"
"699","IPR000370","PR00856"
"700","IPR000371","PR01065"
"701","IPR000372","PF01462"
"702","IPR000372","SM00013"
"703","IPR000374","PS01315"
"704","IPR000375","PF01031"
"705","IPR000376","PTHR11866:SF18"
"706","IPR000376","PR00854"
"707","IPR000377","PTHR24247:SF169"
"708","IPR000377","PR00517"
"709","IPR000378","PR00575"
"710","IPR000380","PTHR11390"
"711","IPR000380","PTHR42785"
"712","IPR000381","PTHR11848:SF181"
"713","IPR000381","PR00671"
"714","IPR000382","PF02122"
"715","IPR000383","PF02129"
"716","IPR000385","PS01305"
"717","IPR000386","PR00331"
"718","IPR000387","PS50056"
"719","IPR000388","PR01092"
"720","IPR000389","PTHR34671"
"721","IPR000390","PF00893"
"722","IPR000391","PF00866"
"723","IPR000391","cd00667"
"724","IPR000392","PTHR42864"
"725","IPR000392","PF00142"
"726","IPR000392","PIRSF000363"
"727","IPR000392","PS51026"
"728","IPR000393","PR01016"
"729","IPR000394","PTHR32248"
"730","IPR000394","PF00309"
"731","IPR000394","PIRSF000774"
"732","IPR000394","PR00045"
"733","IPR000394","PS00717"
"734","IPR000394","PS00718"
"735","IPR000394","PS50044"
"736","IPR000394","TIGR02395"
"737","IPR000395","PF01742"
"738","IPR000395","PR00760"
"739","IPR000396","PTHR28283"
"740","IPR000396","PF02112"
"741","IPR000396","PIRSF000962"
"742","IPR000396","PR00388"
"743","IPR000397","PF01430"
"744","IPR000397","PIRSF005261"
"745","IPR000397","MF_00117"
"746","IPR000397","cd00498"
"747","IPR000398","PR00108"
"748","IPR000398","TIGR03284"
"749","IPR000398","MF_00008"
"750","IPR000399","PS00187"
"751","IPR000400","PF01374"
"752","IPR000400","PIRSF036551"
"753","IPR000400","PS60000"
"754","IPR000400","cd00978"
"755","IPR000402","PTHR11523"
"756","IPR000402","PF00287"
"757","IPR000402","PS00390"
"758","IPR000402","PS00391"
"759","IPR000402","TIGR01107"
"760","IPR000403","PF00454"
"761","IPR000403","PS50290"
"762","IPR000403","SM00146"
"763","IPR000403","G3DSA:1.10.1070.11"
"764","IPR000404","PF01350"
"765","IPR000405","PR00663"
"766","IPR000406","PTHR10980"
"767","IPR000406","PF02115"
"768","IPR000406","PR00492"
"769","IPR000407","PTHR11782"
"770","IPR000407","PF01150"
"771","IPR000407","PS01238"
"772","IPR000408","PF00415"
"773","IPR000408","PR00633"
"774","IPR000408","PS00625"
"775","IPR000408","PS00626"
"776","IPR000408","PS50012"
"777","IPR000409","PF02138"
"778","IPR000409","PS50197"
"779","IPR000409","SM01026"
"780","IPR000409","G3DSA:1.10.1540.10"
"781","IPR000409","SSF81837"
"782","IPR000409","cd06071"
"783","IPR000412","PIRSF006648"
"784","IPR000412","PR00164"
"785","IPR000412","PS51012"
"786","IPR000413","PR01185"
"787","IPR000415","G3DSA:3.40.109.10"
"788","IPR000415","SSF55469"
"789","IPR000416","PF00426"
"790","IPR000417","PF02110"
"791","IPR000417","PIRSF000513"
"792","IPR000417","PR01099"
"793","IPR000417","TIGR00694"
"794","IPR000417","MF_00228"
"795","IPR000417","cd01170"
"796","IPR000418","PF00178"
"797","IPR000418","PR00454"
