	identity_updated	genetic_background	Genotypes	n_genes_by_counts	log1p_n_genes_by_counts	total_counts	log1p_total_counts	umap1	umap2
SC22530_1_259	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1207	7.0967213784947605	5779.7095	8.662282	6.8476996	2.5691266
SC22530_1_260	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1724	7.45298232946546	8330.55	9.027804	3.2407763	1.1027191
SC22530_1_261	GCSKO-17	PBANKA	fd3   PBANKA_1418100	2040	7.621195162809845	9575.249	9.167041	0.06299183	1.1335536
SC22530_1_262	GCSKO-17	PBANKA	fd3   PBANKA_1418100	2438	7.79934339821592	10975.656	9.303526	8.780844	18.986479
SC22530_1_263	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1517	7.325148957955575	7721.038	8.951834	-1.646635	13.271306
SC22530_1_264	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1239	7.122866658599083	6971.45	8.849722	3.6409914	1.5789568
SC22530_1_265	GCSKO-2	PBANKA	md3 PBANKA_0102400	572	6.35088571671474	3127.789	8.048401	10.197827	-4.932411
SC22530_1_266	GCSKO-2	PBANKA	md3 PBANKA_0102400	2228	7.709308333385869	10699.192	9.278017	9.812417	12.248042
SC22530_1_267	GCSKO-2	PBANKA	md3 PBANKA_0102400	1946	7.5740450053721995	9385.357	9.147013	8.100584	11.73838
SC22530_1_268	GCSKO-2	PBANKA	md3 PBANKA_0102400	1197	7.088408778675395	6480.7295	8.776743	-0.3760364	3.0316322
SC22530_1_26	GCSKO-2	PBANKA	md3 PBANKA_0102400	1038	6.946013991099227	6544.3945	8.786517	-2.9520233	7.355774
SC22530_1_270	GCSKO-2	PBANKA	md3 PBANKA_0102400	175	5.170483995038151	1115.3575	7.0178266	2.7649753	5.881857
SC22530_1_273	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1206	7.095893221097532	6564.946	8.789652	1.49864	-9.4517355
SC22530_1_274	GCSKO-17	PBANKA	fd3   PBANKA_1418100	922	6.827629234502852	4906.7676	8.498574	8.702106	2.474491
SC22530_1_275	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1263	7.142036574706803	6222.419	8.736074	6.3346634	2.4880881
SC22530_1_276	GCSKO-17	PBANKA	fd3   PBANKA_1418100	2258	7.7226775164680035	10768.984	9.284518	-1.09046	1.9833366
SC22530_1_277	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1704	7.4413203897176174	8606.416	9.060379	-1.433997	13.647099
SC22530_1_278	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1048	6.955592608396297	5156.849	8.548275	7.7679725	2.5346208
SC22530_1_279	GCSKO-17	PBANKA	fd3   PBANKA_1418100	792	6.675823221634848	3951.4622	8.282094	8.873721	-0.71455413
SC22530_1_27	GCSKO-2	PBANKA	md3 PBANKA_0102400	2657	7.885329239273191	12402.953	9.425771	10.639733	14.402902
SC22530_1_280	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1192	7.084226422097916	6392.9795	8.763112	3.774266	1.6064523
SC22530_1_281	GCSKO-2	PBANKA	md3 PBANKA_0102400	1448	7.278628942320682	7988.2793	8.985856	-2.9903655	7.299009
SC22530_1_282	GCSKO-2	PBANKA	md3 PBANKA_0102400	1729	7.455876687491824	8951.688	9.0997095	-0.2598973	1.7907462
SC22530_1_283	GCSKO-2	PBANKA	md3 PBANKA_0102400	1443	7.275172319452771	7819.2188	8.964468	-3.0335855	7.3153086
SC22530_1_284	GCSKO-2	PBANKA	md3 PBANKA_0102400	550	6.311734809152915	3221.935	8.078048	10.55861	-3.5762491
SC22530_1_286	GCSKO-2	PBANKA	md3 PBANKA_0102400	169	5.135798437050262	1060.622	6.967553	2.3399334	6.5827208
SC22530_1_289	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1527	7.331714969726466	8145.1157	9.005297	-0.7876504	2.5869544
SC22530_1_28	GCSKO-2	PBANKA	md3 PBANKA_0102400	592	6.385194398997726	3562.0024	8.178359	3.7478516	-7.208528
SC22530_1_290	GCSKO-17	PBANKA	fd3   PBANKA_1418100	2059	7.630461261783627	9711.879	9.181208	-0.9345459	2.1376252
SC22530_1_291	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1459	7.286191714702382	6639.652	8.800965	3.904142	1.4971477
SC22530_1_292	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1927	7.564238475170491	9023.618	9.107712	1.7391305	0.78314006
SC22530_1_293	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1027	6.93537044601511	5169.8184	8.550786	-1.4315237	9.966679
SC22530_1_294	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1863	7.530479995245536	8619.404	9.061888	1.8883756	0.8281679
SC22530_1_295	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1062	6.968850378341948	4510.2705	8.414334	7.7801976	2.4521308
SC22530_1_296	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1318	7.1846291527173145	6202.262	8.732831	5.332633	2.1305826
SC22530_1_297	GCSKO-2	PBANKA	md3 PBANKA_0102400	1638	7.40184157874383	8829.265	9.08594	-3.101638	7.225737
